d,j,k,p,s,w,dj,dk,dp,ds,dw,jk,jp,js,jw,kp,ks,kw,ps,pw,sw,wjd,wjk,wjp,wjs,wkd,wkp,wks,wpd,wps,wjkd,wjkp,wjks,wjkpd,wjkps,wjkpds,wjk.ngram
1,0.8,1,1,1,0.6,0.8,0.8,1,1,0.6,1,0.6,1,0.6,1,1,0.6,1,0.6,1,0.6,0.6,0.6,0.9,0.6,0.6,1,0.6,1,0.6,0.6,0.8,0.6,0.8,0.8,0.6
1,1,1,1,1,0.9,1,1,1,1,0.9,1,1,1,1,1,1,0.9,1,0.9,0.4,1,0.9,1,0.5,0.9,0.8,0.2,0.9,0.4,0.9,0.9,0.2,0.9,0.4,0.4,1
0.5,0.5,0.5,0.5,0.5,0.9,0.5,0.5,0.5,0.5,0.9,0.5,0.5,0.5,0.9,0.5,0.5,0.8,0.5,0.9,0.4,0.9,0.9,0.9,0.7,0.8,0.7,0.2,0.9,0.4,0.9,0.9,0.2,0.9,0.4,0.4,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9,1,1,0.6,1,1,1,0.8,0.9,1,0.2,1,1,1,1,0.2,1,0.6,0.6,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9,1,1,0.6,1,1,1,1,0.9,1,0.2,1,1,1,1,0.2,1,0.8,0.8,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6,1,1,1,0.8,1,1,0.2,1,0.8,1,1,0.2,1,0.6,0.6,1
1,1,1,1,0.8,1,1,1,1,0.8,1,1,1,0.8,1,1,1,1,0.8,1,0.8,1,1,1,1,1,1,0.2,1,1,1,1,0.2,1,0.6,0.6,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9,1,1,0.6,1,1,1,0.8,0.9,1,0.2,1,1,1,1,0.2,1,0.6,0.6,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9,1,1,0.6,1,1,1,1,0.9,1,0.2,1,1,1,1,0.2,1,0.8,0.8,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6,1,1,1,0.8,1,1,0.2,1,0.8,1,1,0.2,1,0.6,0.6,1
1,1,1,1,0.8,1,1,1,1,0.8,1,1,1,0.8,1,1,1,1,0.8,1,0.8,1,1,1,1,1,1,0.2,1,1,1,1,0.2,1,0.6,0.6,1
0.9,1,1,1,1,0.8,0.8,0.8,0.8,0.9,0.6,1,1,1,0.8,1,1,0.8,1,0.8,0.7,0.6,0.8,0.8,0.8,0.6,0.8,0.6,0.6,0.8,0.6,0.8,0.6,0.6,0.6,0.4,1
0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.1,0.1,0.1,0.5,0.1,0.1,0.1,0.5,0.1,0.1,0.5,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9
0.4,0.6,0.6,0.6,0.4,0.5,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.4,0.5,0.6,0.4,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.4,0.5,0.4,0.8
0.4,0.4,0.4,0.4,0.4,0.9,0.4,0.4,0.4,0.4,0.8,0.4,0.4,0.4,1,0.4,0.4,0.9,0.4,1,0.8,0.8,1,1,0.9,0.8,1,0.6,0.8,0.8,0.8,1,0.8,0.8,0.8,0.5,1
0.4,0.6,0.6,0.6,0.4,0.5,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.4,0.5,0.6,0.4,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.4,0.5,0.4,0.8
0.4,0.4,0.4,0.4,0.4,0.8,0.4,0.4,0.4,0.4,0.8,0.4,0.4,0.4,1,0.4,0.4,0.8,0.4,1,0.8,0.8,1,1,0.8,0.7,0.9,0.6,0.8,0.8,0.7,1,0.6,0.8,0.7,0.5,1
0.4,0.6,0.6,0.6,0.4,0.5,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.4,0.5,0.6,0.4,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.4,0.5,0.4,0.8
0.4,0.4,0.4,0.4,0.4,0.8,0.4,0.4,0.4,0.4,0.8,0.4,0.4,0.4,1,0.4,0.4,0.8,0.4,0.9,0.8,0.8,0.8,1,0.8,0.7,0.8,0.6,0.8,0.8,0.7,0.8,0.6,0.7,0.8,0.5,1
0.4,0.6,0.6,0.6,0.4,0.5,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.4,0.5,0.6,0.4,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.4,0.5,0.4,0.8
0.4,0.4,0.4,0.4,0.4,0.8,0.4,0.4,0.4,0.4,0.8,0.4,0.4,0.4,0.9,0.4,0.4,0.8,0.4,0.8,0.8,0.8,0.8,1,0.8,0.7,0.8,0.6,0.8,0.8,0.7,0.8,0.6,0.7,0.6,0.5,1
0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.6,0.5,0.6,0.6,0.5,0.6,0.5,0.6,0.6,0.5,0.9
0.3,0.3,0.3,0.3,0.3,0.7,0.3,0.3,0.3,0.3,0.7,0.3,0.3,0.3,0.9,0.3,0.3,0.7,0.3,0.9,0.5,0.7,0.7,0.9,0.7,0.7,0.7,0.5,0.7,0.7,0.7,0.9,0.5,0.7,0.7,0.5,1
0.6,0.6,0.6,0.6,0.6,0.9,0.6,0.6,0.6,0.6,0.9,0.6,0.6,0.6,0.9,0.6,0.6,0.7,0.6,0.9,0.9,0.9,0.8,0.9,0.9,0.7,0.8,0.4,0.9,0.9,0.7,0.8,0.6,0.8,0.8,0.7,1
0.6,0.6,0.6,0.6,0.6,0.9,0.6,0.6,0.6,0.6,0.9,0.6,0.6,0.6,0.9,0.6,0.6,0.5,0.6,0.9,0.7,0.9,0.5,0.9,0.9,0.4,0.5,0.4,0.9,0.9,0.4,0.6,0.4,0.4,0.6,0.4,1
0.4,0.4,0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.4,0.6,0.6,0.4,0.4,0.6,0.6,0.6,0.4,0.4,0.6,0.6,0.6,0.4,0.6,0.6,0.4,0.4,0.3,0.6,0.6,0.4,0.4,0.4,0.5,0.4,0.4,0.7
0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.4,0.6,0.6,0.7,0.6,0.4,0.7,0.7,0.4,0.4,0.4,0.6,0.7,0.4,0.4,0.6,0.4,0.6,0.4,0.8
0.5,0.5,0.5,0.5,0.5,0.9,0.5,0.5,0.5,0.5,0.9,0.5,0.5,0.5,0.9,0.5,0.5,0.7,0.5,0.9,0.9,0.9,0.8,0.9,0.9,0.7,0.8,0.4,0.9,0.9,0.7,0.8,0.6,0.8,0.8,0.7,1
0.5,0.5,0.5,0.5,0.5,0.9,0.5,0.5,0.5,0.5,0.9,0.5,0.5,0.5,0.9,0.5,0.5,0.5,0.5,0.9,0.7,0.9,0.5,0.9,0.9,0.4,0.5,0.4,0.9,0.9,0.5,0.6,0.4,0.5,0.6,0.4,1
0.4,0.4,0.6,0.4,0.4,0.6,0.5,0.5,0.4,0.4,0.6,0.6,0.4,0.4,0.6,0.6,0.6,0.4,0.4,0.6,0.6,0.6,0.4,0.6,0.6,0.4,0.5,0.3,0.6,0.6,0.4,0.5,0.4,0.5,0.4,0.4,0.7
0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.6,0.6,0.6,0.6,0.7,0.6,0.8,0.4,0.6,0.6,0.7,0.7,0.4,0.7,0.7,0.4,0.4,0.4,0.6,0.7,0.4,0.5,0.6,0.4,0.6,0.4,0.8
0.65,0.66,0.68,0.66,0.57,0.766,0.64,0.64,0.645,0.569,0.761,0.669,0.648,0.549,0.776,0.677,0.581,0.772,0.56,0.772,0.56,0.759,0.785,0.776,0.562,0.753,0.781,0.489,0.762,0.601,0.761,0.791,0.443,0.766,0.514,0.466,0.862
